ts_iso,symbol,bar_start_ms,bar_open,bar_high,bar_low,bar_close,delta_tick,delta_z,trades,donchian_high,donchian_low,touch_low,touch_high,signal,reason
2025-12-17T02:21:05.000Z,SOLUSDT,1765938065000,128.69,128.69,128.69,128.69,4,0.0,4,129.6,123.0,0,0,,min_trades
2025-12-17T02:21:05.000Z,DOGEUSDT,1765938065000,0.13111,0.13111,0.13111,0.13111,3,0.0,3,0.13231,0.13092,0,0,,min_trades
2025-12-17T02:21:05.000Z,BTCUSDT,1765938065000,87250.3,87250.3,87250.2,87250.2,-4,0.0,4,87886.0,87100.0,0,0,,min_trades
2025-12-17T02:21:10.000Z,DOGEUSDT,1765938070000,0.13111,0.13111,0.13111,0.13111,4,0.0,4,0.13231,0.13092,0,0,,min_trades
2025-12-17T02:21:10.000Z,SOLUSDT,1765938070000,128.69,128.69,128.69,128.69,3,0.0,3,129.6,123.0,0,0,,min_trades
2025-12-17T02:21:10.000Z,ETHUSDT,1765938070000,2943.32,2943.33,2943.24,2943.33,2,0.0,6,2971.57,2938.48,0,0,,min_trades
2025-12-17T02:21:10.000Z,BTCUSDT,1765938070000,87250.2,87260.0,87250.2,87258.5,-2,0.0,6,87886.0,87100.0,0,0,,min_trades
2025-12-17T02:21:10.000Z,XRPUSDT,1765938070000,1.916,1.9162,1.916,1.9162,2,0.0,4,1.9387,1.9152,0,0,,min_trades
2025-12-17T02:21:15.000Z,BTCUSDT,1765938075000,87258.5,87384.1,87258.3,87258.3,41,0.0,55,87886.0,87100.0,0,0,,no_signal
2025-12-17T02:21:15.000Z,DOGEUSDT,1765938075000,0.13111,0.13114,0.13111,0.13114,14,0.0,14,0.13231,0.13092,0,0,,min_trades
2025-12-17T02:21:15.000Z,ETHUSDT,1765938075000,2943.33,2943.34,2943.3,2943.34,3,0.0,5,2971.57,2938.48,0,0,,min_trades
2025-12-17T02:21:15.000Z,XRPUSDT,1765938075000,1.9162,1.9163,1.9162,1.9163,5,0.0,5,1.9387,1.9152,0,0,,min_trades
2025-12-17T02:21:15.000Z,SOLUSDT,1765938075000,128.69,128.69,128.69,128.69,3,0.0,3,129.6,123.0,0,0,,min_trades
2025-12-17T02:21:20.000Z,BTCUSDT,1765938080000,87258.3,87384.1,87258.3,87293.2,-1,0.0,7,87886.0,87100.0,0,0,,min_trades
2025-12-17T02:21:20.000Z,SOLUSDT,1765938080000,128.69,128.69,128.69,128.69,3,0.0,3,129.6,123.0,0,0,,min_trades
2025-12-17T02:21:20.000Z,XRPUSDT,1765938080000,1.9163,1.917,1.9163,1.917,10,0.0,10,1.9387,1.9152,0,0,,min_trades
2025-12-17T02:21:20.000Z,ETHUSDT,1765938080000,2943.34,2944.24,2943.34,2944.24,25,0.0,27,2971.57,2938.48,0,0,,min_trades
2025-12-17T02:21:20.000Z,DOGEUSDT,1765938080000,0.13114,0.13114,0.13114,0.13114,5,0.0,5,0.13231,0.13092,0,0,,min_trades
2025-12-17T02:21:25.000Z,DOGEUSDT,1765938085000,0.13114,0.13115,0.13114,0.13115,8,0.0,8,0.13231,0.13092,0,0,,min_trades
2025-12-17T02:21:25.000Z,XRPUSDT,1765938085000,1.917,1.917,1.9169,1.9169,-2,0.0,2,1.9387,1.9152,0,0,,min_trades
2025-12-17T02:21:25.000Z,BTCUSDT,1765938085000,87293.2,87299.7,87282.2,87282.2,-3,0.0,5,87886.0,87100.0,0,0,,min_trades
2025-12-17T02:21:25.000Z,SOLUSDT,1765938085000,128.69,128.7,128.69,128.7,5,0.0,5,129.6,123.0,0,0,,min_trades
2025-12-17T02:21:25.000Z,ETHUSDT,1765938085000,2944.24,2944.24,2944.09,2944.24,6,0.0,8,2971.57,2938.48,0,0,,min_trades
2025-12-17T02:21:30.000Z,BTCUSDT,1765938090000,87282.2,87299.6,87258.3,87258.3,-6,0.0,8,87886.0,87100.0,0,0,,min_trades
2025-12-17T02:21:30.000Z,XRPUSDT,1765938090000,1.9169,1.917,1.9169,1.917,4,0.0,4,1.9387,1.9152,0,0,,min_trades
2025-12-17T02:21:30.000Z,DOGEUSDT,1765938090000,0.13115,0.13123,0.13115,0.13123,23,0.0,23,0.13231,0.13092,0,0,,min_trades
2025-12-17T02:21:30.000Z,ETHUSDT,1765938090000,2944.24,2944.57,2944.24,2944.57,20,0.0,20,2971.57,2938.48,0,0,,min_trades
2025-12-17T02:21:30.000Z,SOLUSDT,1765938090000,128.7,128.7,128.7,128.7,4,0.0,4,129.6,123.0,0,0,,min_trades
2025-12-17T02:21:35.000Z,SOLUSDT,1765938095000,128.7,128.7,128.7,128.7,4,0.0,4,129.6,123.0,0,0,,min_trades
2025-12-17T02:21:35.000Z,XRPUSDT,1765938095000,1.917,1.917,1.9169,1.9169,-1,0.0,1,1.9387,1.9152,0,0,,min_trades
2025-12-17T02:21:35.000Z,BTCUSDT,1765938095000,87258.3,87299.7,87258.3,87268.0,1,0.0,7,87886.0,87100.0,0,0,,min_trades
2025-12-17T02:21:35.000Z,ETHUSDT,1765938095000,2944.57,2944.57,2944.57,2944.57,7,0.0,7,2971.57,2938.48,0,0,,min_trades
2025-12-17T02:21:35.000Z,DOGEUSDT,1765938095000,0.13123,0.13123,0.13122,0.13122,-2,0.0,2,0.13231,0.13092,0,0,,min_trades
2025-12-17T02:21:40.000Z,SOLUSDT,1765938100000,128.7,128.71,128.7,128.71,6,0.0,6,129.6,123.0,0,0,,min_trades
2025-12-17T02:21:40.000Z,XRPUSDT,1765938100000,1.9169,1.917,1.9169,1.917,-1,0.0,3,1.9387,1.9152,0,0,,min_trades
2025-12-17T02:21:40.000Z,ETHUSDT,1765938100000,2944.57,2944.57,2944.09,2944.57,6,0.0,8,2971.57,2938.48,0,0,,min_trades
2025-12-17T02:21:40.000Z,BTCUSDT,1765938100000,87268.0,87289.9,87268.0,87289.9,3,0.0,7,87886.0,87100.0,0,0,,min_trades
2025-12-17T02:21:40.000Z,DOGEUSDT,1765938100000,0.13122,0.13122,0.13122,0.13122,-1,0.0,1,0.13231,0.13092,0,0,,min_trades
2025-12-17T02:21:45.000Z,XRPUSDT,1765938105000,1.917,1.917,1.917,1.917,4,0.0,4,1.9387,1.9152,0,0,,min_trades
2025-12-17T02:21:45.000Z,ETHUSDT,1765938105000,2944.57,2945.08,2944.57,2945.08,26,0.0,28,2971.57,2938.48,0,0,,min_trades
2025-12-17T02:21:45.000Z,BTCUSDT,1765938105000,87289.9,87289.9,87289.9,87289.9,3,0.0,3,87886.0,87100.0,0,0,,min_trades
2025-12-17T02:21:45.000Z,SOLUSDT,1765938105000,128.71,128.71,128.71,128.71,4,0.0,4,129.6,123.0,0,0,,min_trades
2025-12-17T02:21:45.000Z,DOGEUSDT,1765938105000,0.13122,0.13123,0.13122,0.13123,2,0.0,2,0.13231,0.13092,0,0,,min_trades
2025-12-17T02:21:50.000Z,BTCUSDT,1765938110000,87289.9,87289.9,87289.9,87289.9,4,0.0,4,87886.0,87100.0,0,0,,min_trades
2025-12-17T02:21:50.000Z,XRPUSDT,1765938110000,1.917,1.917,1.9169,1.9169,0,0.0,4,1.9387,1.9152,0,0,,min_trades
2025-12-17T02:21:50.000Z,SOLUSDT,1765938110000,128.71,128.72,128.71,128.72,4,0.0,4,129.6,123.0,0,0,,min_trades
2025-12-17T02:21:50.000Z,ETHUSDT,1765938110000,2945.08,2945.08,2944.88,2944.88,-3,0.0,5,2971.57,2938.48,0,0,,min_trades
2025-12-17T02:21:50.000Z,DOGEUSDT,1765938110000,0.13123,0.13123,0.13123,0.13123,2,0.0,2,0.13231,0.13092,0,0,,min_trades
2025-12-17T02:21:55.000Z,BTCUSDT,1765938115000,87289.9,87290.0,87289.9,87290.0,5,0.0,5,87886.0,87100.0,0,0,,min_trades
2025-12-17T02:21:55.000Z,SOLUSDT,1765938115000,128.72,128.73,128.72,128.73,3,0.0,3,129.6,123.0,0,0,,min_trades
2025-12-17T02:21:55.000Z,XRPUSDT,1765938115000,1.9169,1.917,1.9169,1.917,-1,0.0,3,1.9387,1.9152,0,0,,min_trades
2025-12-17T02:21:55.000Z,ETHUSDT,1765938115000,2944.88,2944.88,2944.77,2944.77,-4,0.0,4,2971.57,2938.48,0,0,,min_trades
2025-12-17T02:21:55.000Z,DOGEUSDT,1765938115000,0.13123,0.13123,0.13122,0.13122,-3,0.0,3,0.13231,0.13092,0,0,,min_trades
2025-12-17T02:22:00.000Z,BTCUSDT,1765938120000,87290.0,87291.7,87290.0,87291.7,6,0.0,6,87886.0,87100.0,0,0,,min_trades
2025-12-17T02:22:00.000Z,SOLUSDT,1765938120000,128.73,128.73,128.73,128.73,5,0.0,5,129.6,123.0,0,0,,min_trades
2025-12-17T02:22:00.000Z,ETHUSDT,1765938120000,2944.77,2944.91,2944.77,2944.9,-4,0.0,4,2971.57,2938.48,0,0,,min_trades
2025-12-17T02:22:00.000Z,XRPUSDT,1765938120000,1.917,1.917,1.9169,1.9169,2,0.0,4,1.9387,1.9152,0,0,,min_trades
2025-12-17T02:22:00.000Z,DOGEUSDT,1765938120000,0.13122,0.13123,0.13122,0.13123,2,0.0,2,0.13231,0.13092,0,0,,min_trades
2025-12-17T02:22:05.000Z,SOLUSDT,1765938125000,128.73,128.73,128.73,128.73,4,0.0,4,129.6,123.0,0,0,,min_trades
2025-12-17T02:22:05.000Z,ETHUSDT,1765938125000,2944.9,2944.91,2944.78,2944.78,-6,0.0,6,2971.57,2938.48,0,0,,min_trades
2025-12-17T02:22:05.000Z,DOGEUSDT,1765938125000,0.13123,0.13123,0.13122,0.13122,-3,0.0,3,0.13231,0.13092,0,0,,min_trades
2025-12-17T02:22:05.000Z,XRPUSDT,1765938125000,1.9169,1.917,1.9169,1.9169,-2,0.0,4,1.9387,1.9152,0,0,,min_trades
2025-12-17T02:22:05.000Z,BTCUSDT,1765938125000,87291.7,87293.4,87258.3,87293.4,-3,0.0,9,87886.0,87100.0,0,0,,min_trades
2025-12-17T02:22:10.000Z,ETHUSDT,1765938130000,2944.78,2944.91,2944.67,2944.91,-4,0.0,6,2971.57,2938.48,0,0,,min_trades
2025-12-17T02:22:10.000Z,SOLUSDT,1765938130000,128.73,128.73,128.73,128.73,3,0.0,3,129.6,123.0,0,0,,min_trades
2025-12-17T02:22:10.000Z,BTCUSDT,1765938130000,87293.4,87293.4,87268.5,87268.5,-3,0.0,3,87886.0,87100.0,0,0,,min_trades
2025-12-17T02:22:10.000Z,DOGEUSDT,1765938130000,0.13122,0.13122,0.13122,0.13122,-4,0.0,4,0.13231,0.13092,0,0,,min_trades
2025-12-17T02:22:10.000Z,XRPUSDT,1765938130000,1.9169,1.9169,1.9169,1.9169,-4,0.0,4,1.9387,1.9152,0,0,,min_trades
2025-12-17T02:22:15.000Z,SOLUSDT,1765938135000,128.73,128.73,128.73,128.73,3,0.0,3,129.6,123.0,0,0,,min_trades
2025-12-17T02:22:15.000Z,XRPUSDT,1765938135000,1.9169,1.9169,1.9169,1.9169,-2,0.0,2,1.9387,1.9152,0,0,,min_trades
2025-12-17T02:22:15.000Z,BTCUSDT,1765938135000,87268.5,87368.6,87257.6,87257.6,59,0.0,73,87886.0,87100.0,0,0,,no_signal
2025-12-17T02:22:15.000Z,ETHUSDT,1765938135000,2944.91,2944.91,2943.46,2943.46,-14,0.0,14,2971.57,2938.48,0,0,,min_trades
2025-12-17T02:22:15.000Z,DOGEUSDT,1765938135000,0.13122,0.13122,0.13115,0.13115,-10,0.0,10,0.13231,0.13092,0,0,,min_trades
2025-12-17T02:22:20.000Z,SOLUSDT,1765938140000,128.73,128.74,128.73,128.74,5,0.0,5,129.6,123.0,0,0,,min_trades
2025-12-17T02:22:20.000Z,ETHUSDT,1765938140000,2943.46,2943.46,2943.46,2943.46,-4,0.0,4,2971.57,2938.48,0,0,,min_trades
2025-12-17T02:22:20.000Z,XRPUSDT,1765938140000,1.9169,1.9169,1.9169,1.9169,-5,0.0,5,1.9387,1.9152,0,0,,min_trades
2025-12-17T02:22:20.000Z,DOGEUSDT,1765938140000,0.13115,0.13115,0.13114,0.13114,-4,0.0,4,0.13231,0.13092,0,0,,min_trades
2025-12-17T02:22:20.000Z,BTCUSDT,1765938140000,87257.6,87257.6,87257.6,87257.6,-4,0.0,4,87886.0,87100.0,0,0,,min_trades
2025-12-17T02:22:25.000Z,BTCUSDT,1765938145000,87257.6,87257.6,87257.6,87257.6,-2,0.0,2,87886.0,87100.0,0,0,,min_trades
2025-12-17T02:22:25.000Z,XRPUSDT,1765938145000,1.9169,1.9169,1.9168,1.9168,-7,0.0,7,1.9387,1.9152,0,0,,min_trades
2025-12-17T02:22:25.000Z,DOGEUSDT,1765938145000,0.13114,0.13115,0.13114,0.13115,-2,0.0,2,0.13231,0.13092,0,0,,min_trades
2025-12-17T02:22:25.000Z,SOLUSDT,1765938145000,128.74,128.74,128.74,128.74,3,0.0,3,129.6,123.0,0,0,,min_trades
2025-12-17T02:22:25.000Z,ETHUSDT,1765938145000,2943.46,2943.46,2942.95,2942.95,-18,0.0,18,2971.57,2938.48,0,0,,min_trades
2025-12-17T02:22:30.000Z,BTCUSDT,1765938150000,87257.6,87257.6,87253.5,87253.5,-18,0.0,18,87886.0,87100.0,0,0,,min_trades
2025-12-17T02:22:30.000Z,SOLUSDT,1765938150000,128.74,128.74,128.73,128.73,3,0.0,5,129.6,123.0,0,0,,min_trades
2025-12-17T02:22:30.000Z,XRPUSDT,1765938150000,1.9168,1.9168,1.9168,1.9168,-4,0.0,4,1.9387,1.9152,0,0,,min_trades
2025-12-17T02:22:30.000Z,ETHUSDT,1765938150000,2942.95,2942.95,2942.92,2942.92,-3,0.0,3,2971.57,2938.48,0,0,,min_trades
2025-12-17T02:22:30.000Z,DOGEUSDT,1765938150000,0.13115,0.13115,0.13115,0.13115,-6,0.0,6,0.13231,0.13092,0,0,,min_trades
2025-12-17T02:22:35.000Z,XRPUSDT,1765938155000,1.9168,1.9168,1.9167,1.9167,-8,0.0,8,1.9387,1.9152,0,0,,min_trades
2025-12-17T02:22:35.000Z,BTCUSDT,1765938155000,87253.5,87256.9,87252.2,87252.2,-7,0.0,11,87886.0,87100.0,0,0,,min_trades
2025-12-17T02:22:35.000Z,SOLUSDT,1765938155000,128.73,128.74,128.73,128.74,4,0.0,4,129.6,123.0,0,0,,min_trades
2025-12-17T02:22:35.000Z,ETHUSDT,1765938155000,2942.92,2943.04,2942.9,2942.9,-6,0.0,12,2971.57,2938.48,0,0,,min_trades
2025-12-17T02:22:35.000Z,DOGEUSDT,1765938155000,0.13115,0.13116,0.13115,0.13115,0,0.0,2,0.13231,0.13092,0,0,,min_trades
2025-12-17T02:22:40.000Z,XRPUSDT,1765938160000,1.9167,1.9167,1.9166,1.9166,-5,0.0,5,1.9387,1.9152,0,0,,min_trades
2025-12-17T02:22:40.000Z,BTCUSDT,1765938160000,87252.2,87252.5,87250.6,87250.6,-10,0.0,12,87886.0,87100.0,0,0,,min_trades
2025-12-17T02:22:40.000Z,SOLUSDT,1765938160000,128.74,128.74,128.74,128.74,3,0.0,3,129.6,123.0,0,0,,min_trades
2025-12-17T02:22:40.000Z,ETHUSDT,1765938160000,2942.9,2942.9,2942.79,2942.79,-4,0.0,4,2971.57,2938.48,0,0,,min_trades
2025-12-17T02:48:45.000Z,BTCUSDT,1765939725000,87384.1,87409.4,87384.1,87409.4,38,0.0,38,87886.0,87100.0,0,0,,warmup
2025-12-17T02:48:45.000Z,XRPUSDT,1765939725000,1.9261,1.9261,1.9261,1.9261,2,0.0,2,1.9387,1.9124,0,0,,warmup
2025-12-17T02:48:45.000Z,SOLUSDT,1765939725000,128.91,128.91,128.91,128.91,1,0.0,1,129.6,123.0,0,0,,warmup
2025-12-17T02:48:45.000Z,ETHUSDT,1765939725000,2955.0,2955.12,2954.98,2955.12,16,0.0,18,2971.57,2938.48,0,0,,warmup
2025-12-17T02:48:45.000Z,DOGEUSDT,1765939725000,0.13172,0.13175,0.13172,0.13175,9,0.0,9,0.13231,0.13092,0,0,,warmup
2025-12-17T10:43:20.000Z,BTCUSDT,1765968200000,86692.2,86692.2,86692.2,86692.2,-1,0.0,1,86703.3,86237.3,0,1,,warmup
2025-12-17T10:43:20.000Z,XRPUSDT,1765968200000,1.9051,1.9051,1.9051,1.9051,-1,0.0,1,1.9069,1.8974,0,1,,warmup
2025-12-17T10:43:25.000Z,ETHUSDT,1765968205000,2921.85,2922.29,2921.85,2921.85,-4,0.0,6,2926.69,2912.83,0,0,,warmup
2025-12-17T10:43:25.000Z,BTCUSDT,1765968205000,86692.2,86703.1,86692.2,86692.2,-9,0.0,9,86703.3,86237.3,0,1,,warmup
2025-12-17T10:43:25.000Z,DOGEUSDT,1765968205000,0.13003,0.13003,0.13,0.13,-10,0.0,10,0.13011,0.1294,0,1,,warmup
2025-12-17T10:43:25.000Z,SOLUSDT,1765968205000,126.41,126.41,126.41,126.41,-6,0.0,6,126.73,126.0,0,0,,warmup
2025-12-17T10:43:25.000Z,XRPUSDT,1765968205000,1.9051,1.9051,1.9049,1.9049,-10,0.0,10,1.9069,1.8974,0,1,,warmup
2025-12-17T10:43:30.000Z,BTCUSDT,1765968210000,86692.2,86692.2,86685.6,86685.6,-3,0.0,3,86703.3,86237.3,0,1,,warmup
2025-12-17T10:43:30.000Z,XRPUSDT,1765968210000,1.9049,1.9049,1.9049,1.9049,-2,0.0,2,1.9069,1.8974,0,0,,warmup
